time=2024-10-20T07:54:14.247+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="MongoDB connection established."
time=2024-10-20T07:54:14.290+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Server started."
time=2024-10-20T07:54:15.450+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket server started."
time=2024-10-20T07:54:53.114+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:54:53.113+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:54:53.114+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:54:58.167+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:54:58.167+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:54:58.963+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:54:58.963+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:02.959+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:02.966+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:03.961+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:03.972+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:07.969+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:07.977+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:08.968+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:08.980+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:12.955+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:12.957+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:13.956+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:13.956+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:17.961+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:17.973+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:18.965+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:18.971+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:29.324+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:29.536+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:29.935+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:30.016+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:33.960+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:33.971+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:33.991+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000003-3eadeab4d745e38c-ce23e5ea"
time=2024-10-20T07:55:34.010+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000004-0cd1bd3cd745e49f-8425c01c"
time=2024-10-20T07:55:35.421+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:35.464+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:35.501+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:35.542+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="WebSocket handshake request received."
time=2024-10-20T07:55:41.065+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000007-2335ee68bf468b00-f6158a03"
time=2024-10-20T07:55:41.069+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
time=2024-10-20T07:55:41.087+05:30 level=INFO module=nivindu_lakshitha/Backend.logger_writter message="Connection is alive: 2c6e85fffe0af67c-00003158-00000008-2cfb44d4bf468b2d-746e778c"
